//手前
POSITION,0.0f,5.0f,10.0f
SCALE,0.01f,0.01f,0.01f
MODEL,1
COLLIDER,1.0f
SHOT,0
STAGE,4
NEXT,1
//前方左
POSITION,-5.0f,5.0f,30.0f
SCALE,0.01f,0.01f,0.01f
MODEL,1
COLLIDER,1.0f
SHOT,1
STAGE,4
NEXT,1
//前方右
POSITION,5.0f,5.0f,30.0f
SCALE,0.01f,0.01f,0.01f
MODEL,1
COLLIDER,1.0f
SHOT,1
STAGE,4
NEXT,1
//右奥の敵
POSITION,30.0f,5.0f,45.0f
SCALE,0.01f,0.01f,0.01f
MODEL,1
COLLIDER,1.0f
SHOT,0
STAGE,4
NEXT,1
//右奥の敵
POSITION,25.0f,5.0f,45.0f
SCALE,0.01f,0.01f,0.01f
MODEL,1
COLLIDER,1.0f
SHOT,0
STAGE,4
NEXT,1
//右手前の敵
POSITION,35.0f,5.0f,5.0f
SCALE,0.01f,0.01f,0.01f
MODEL,1
COLLIDER,1.0f
SHOT,1
STAGE,4
NEXT,1
//右手前の敵
POSITION,25.0f,5.0f,5.0f
SCALE,0.01f,0.01f,0.01f
MODEL,1
COLLIDER,1.0f
SHOT,0
STAGE,4
NEXT,0
